"Company","cpu_brand","cpu_name","cpu_speed","gpu_brand","Inches","ips_display","memory_type","OpSys","Price","primary_storage","Ram","resolution_height","resolution_width","secondary_storage","touchscreen","TypeName","Weight"
"Apple","Intel"," Core i5",2.3,"Intel",13.3,1,"ssd","mac",71379.0,"128",8,2560,1600,"0",0,"Ultrabook",1.37
"Apple","Intel"," Core i5",1.8,"Intel",13.3,0,"flash_storage","mac",47896.0,"128",8,1440,900,"0",0,"Ultrabook",1.34
"HP","Intel"," Core i5",2.5,"Intel",15.6,0,"ssd","N/A",30636.0,"256",8,1920,1080,"0",0,"Notebook",1.86
"Apple","Intel"," Core i7",2.7,"AMD",15.4,1,"ssd","mac",135195.0,"512",16,2880,1800,"0",0,"Ultrabook",1.83
"Apple","Intel"," Core i5",3.1,"Intel",13.3,1,"ssd","mac",96096.0,"256",8,2560,1600,"0",0,"Ultrabook",1.37
"Acer","AMD"," A9-Series 9420",3.0,"AMD",15.6,0,"hdd","windows",21312.0,"500",4,1366,768,"0",0,"Notebook",2.1
"Apple","Intel"," Core i7",2.2,"Intel",15.4,1,"flash_storage","mac",114018.0,"256",16,2880,1800,"0",0,"Ultrabook",2.04
"Apple","Intel"," Core i5",1.8,"Intel",13.3,0,"flash_storage","mac",61736.0,"256",8,1440,900,"0",0,"Ultrabook",1.34
"Asus","Intel"," Core i7",1.8,"Nvidia",14.0,0,"ssd","windows",79654.0,"512",16,1920,1080,"0",0,"Ultrabook",1.3
"Acer","Intel"," Core i5",1.6,"Intel",14.0,1,"ssd","windows",41026.0,"256",8,1920,1080,"0",0,"Ultrabook",1.6
"HP","Intel"," Core i5",2.5,"Intel",15.6,0,"hdd","N/A",20987.0,"500",4,1366,768,"0",0,"Notebook",1.86
"HP","Intel"," Core i3",2.0,"Intel",15.6,0,"hdd","N/A",18381.0,"500",4,1920,1080,"0",0,"Notebook",1.86
"Apple","Intel"," Core i7",2.8,"AMD",15.4,1,"ssd","mac",130002.0,"256",16,2880,1800,"0",0,"Ultrabook",1.83
"Dell","Intel"," Core i3",2.0,"AMD",15.6,0,"ssd","windows",26581.0,"256",4,1920,1080,"0",0,"Notebook",2.2
"Apple","Intel"," Core M",1.2,"Intel",12.0,1,"ssd","mac",67261.0,"256",8,2304,1440,"0",0,"Ultrabook",0.92
"Apple","Intel"," Core i5",2.3,"Intel",13.3,1,"ssd","mac",80908.0,"256",8,2560,1600,"0",0,"Ultrabook",1.37
"Dell","Intel"," Core i7",2.7,"AMD",15.6,0,"ssd","windows",39694.0,"256",8,1920,1080,"0",0,"Notebook",2.2
"Apple","Intel"," Core i7",2.9,"AMD",15.4,1,"ssd","mac",152274.0,"512",16,2880,1800,"0",0,"Ultrabook",1.83
"Lenovo","Intel"," Core i3",2.4,"Nvidia",15.6,0,"hdd","N/A",26587.0,"1024",8,1920,1080,"0",0,"Notebook",2.2
"Dell","Intel"," Core i5",1.6,"Intel",13.3,1,"ssd","windows",52161.0,"128",8,1920,1080,"0",1,"Ultrabook",1.22
"Lenovo","Intel"," Core i5",2.5,"Nvidia",15.6,1,"hybrid","windows",53227.0,"128",8,1920,1080,"1024",0,"Gaming",2.5
"HP","AMD"," E-Series E2-9000e",1.5,"AMD",15.6,0,"hdd","N/A",13746.0,"500",4,1366,768,"0",0,"Notebook",1.86
"Dell","Intel"," Core i5",1.6,"Intel",13.3,0,"ssd","windows",43636.0,"256",8,1920,1080,"0",1,"2 in 1 Convertible",1.62
"HP","Intel"," Core i7",1.8,"Intel",15.6,0,"ssd","windows",35112.0,"256",8,1920,1080,"0",0,"Ultrabook",1.91
"Dell","Intel"," Core i3",2.0,"Intel",15.6,0,"hdd","windows",22305.0,"1024",4,1366,768,"0",0,"Notebook",2.3
"Apple","Intel"," Core i5",1.6,"Intel",13.3,0,"flash_storage","mac",58555.0,"128",8,1440,900,"0",0,"Ultrabook",1.35
"Dell","Intel"," Core i5",1.6,"AMD",15.6,0,"ssd","windows",42624.0,"256",8,1920,1080,"0",0,"Notebook",2.2
"Dell","Intel"," Core i7",1.9,"Intel",15.6,0,"ssd","windows",69157.0,"256",8,1920,1080,"256",0,"Ultrabook",1.88
"HP","Intel"," Core i5",1.6,"Nvidia",17.3,0,"hdd","windows",47739.0,"1024",8,1920,1080,"0",0,"Notebook",2.5
"Chuwi","Intel"," Atom x5-Z8300",1.44,"Intel",15.6,0,"flash_storage","windows",13053.0,"64",4,1920,1080,"0",0,"Notebook",1.89
"Asus","AMD"," E-Series E2-6110",1.5,"AMD",14.0,0,"flash_storage","windows",10603.0,"32",2,1366,768,"0",0,"Notebook",1.65
"HP","AMD"," A6-Series 9220",2.5,"AMD",17.3,0,"hdd","windows",23390.0,"500",4,1920,1080,"0",0,"Notebook",2.71
"Dell","Intel"," Core i7",1.8,"Intel",13.3,0,"ssd","windows",99580.0,"512",16,3200,1800,"0",1,"Ultrabook",1.2
"Apple","Intel"," Core i5",1.6,"Intel",13.3,0,"flash_storage","mac",53173.0,"256",8,1440,900,"0",0,"Ultrabook",1.35
"Lenovo","Intel"," Celeron Dual",1.1,"Intel",14.0,0,"flash_storage","windows",13267.0,"64",4,1366,768,"0",0,"Notebook",1.44
"Acer","Intel"," Core i3",2.7,"Intel",15.6,0,"hdd","linux",19554.0,"1024",4,1366,768,"0",0,"Notebook",2.1
